@relation opinion
@attribute category {positive,negative,neutral,objective}
@attribute pnumber numeric
@attribute nnumber numeric

@data
positive,1,1
objective,1,1
objective,0,0
positive,2,2
objective,0,0
positive,3,3
neutral,0,0
positive,0,0
negative,1,1
positive,3,3
negative,1,1
neutral,1,1
positive,1,1
neutral,2,2
objective,2,2
positive,2,2
objective,1,1
negative,0,0
objective,0,0
positive,4,4
negative,2,2
positive,2,2
neutral,1,1
positive,0,0
neutral,1,1
positive,0,0
negative,0,0
positive,2,2
neutral,1,1
objective,0,0
positive,1,1
neutral,2,2
negative,1,1
positive,2,2
positive,0,0
neutral,0,0
positive,2,2
neutral,0,0
positive,2,2
positive,2,2
objective,0,0
neutral,1,1
negative,0,0
positive,3,3
neutral,0,0
neutral,2,2
objective,0,0
objective,0,0
positive,2,2
positive,1,1
positive,1,1
negative,0,0
positive,1,1
neutral,0,0
negative,1,1
positive,2,2
objective,0,0
positive,1,1
neutral,2,2
negative,0,0
positive,1,1
objective,0,0
positive,1,1
neutral,0,0
positive,0,0
positive,1,1
positive,1,1
positive,1,1
neutral,1,1
positive,2,2
objective,0,0
objective,0,0
negative,1,1
neutral,0,0
objective,1,1
neutral,0,0
positive,0,0
objective,0,0
positive,2,2
positive,1,1
positive,1,1
positive,1,1
positive,1,1
neutral,1,1
positive,1,1
negative,1,1
positive,1,1
positive,0,0
positive,1,1
positive,0,0
negative,1,1
objective,0,0
neutral,0,0
positive,1,1
positive,0,0
objective,3,3
objective,1,1
positive,0,0
positive,1,1
negative,0,0
negative,1,1
positive,1,1
neutral,5,5
positive,2,2
positive,1,1
positive,3,3
positive,3,3
positive,2,2
positive,3,3
positive,0,0
objective,1,1
positive,1,1
negative,2,2
neutral,1,1
positive,2,2
neutral,3,3
negative,2,2
negative,1,1
neutral,0,0
positive,2,2
positive,1,1
negative,0,0
negative,2,2
negative,0,0
positive,1,1
objective,2,2
neutral,1,1
positive,0,0
positive,2,2
positive,2,2
positive,1,1
positive,2,2
negative,1,1
positive,1,1
neutral,1,1
negative,0,0
objective,1,1
negative,1,1
objective,0,0
negative,0,0
positive,3,3
negative,1,1
positive,2,2
positive,4,4
negative,1,1
positive,7,7
objective,1,1
positive,2,2
neutral,0,0
positive,0,0
neutral,2,2
negative,2,2
positive,1,1
positive,2,2
neutral,1,1
positive,3,3
neutral,2,2
positive,2,2
objective,1,1
neutral,1,1
neutral,1,1
objective,1,1
neutral,0,0
negative,0,0
negative,0,0
negative,2,2
objective,1,1
positive,3,3
negative,2,2
positive,0,0
positive,1,1
neutral,1,1
positive,0,0
positive,6,6
objective,2,2
positive,1,1
positive,2,2
positive,4,4
positive,1,1
objective,2,2
neutral,3,3
positive,1,1
positive,2,2
negative,1,1
neutral,1,1
negative,0,0
neutral,1,1
objective,1,1
neutral,0,0
negative,1,1
neutral,1,1
neutral,1,1
neutral,1,1
negative,0,0
positive,2,2
positive,1,1
neutral,1,1
objective,0,0
neutral,0,0
negative,1,1
positive,0,0
negative,1,1
positive,2,2
objective,0,0
objective,1,1
positive,0,0
negative,1,1
positive,1,1
objective,3,3
positive,1,1
neutral,1,1
positive,1,1
positive,2,2
positive,0,0
positive,1,1
positive,2,2
positive,1,1
objective,0,0
negative,1,1
positive,1,1
neutral,1,1
positive,3,3
positive,1,1
negative,1,1
neutral,0,0
negative,1,1
objective,0,0
positive,0,0
positive,1,1
objective,0,0
negative,0,0
positive,1,1
negative,1,1
positive,2,2
positive,0,0
neutral,1,1
neutral,2,2
neutral,0,0
objective,1,1
positive,4,4
positive,0,0
objective,2,2
positive,1,1
negative,1,1
negative,1,1
positive,0,0
neutral,0,0
positive,0,0
positive,0,0
negative,2,2
neutral,0,0
neutral,2,2
positive,1,1
positive,1,1
objective,1,1
objective,1,1
positive,1,1
objective,1,1
negative,0,0
positive,0,0
positive,0,0
positive,0,0
positive,4,4
neutral,0,0
positive,0,0
positive,0,0
negative,1,1
neutral,2,2
neutral,0,0
positive,1,1
negative,1,1
objective,1,1
negative,1,1
neutral,1,1
objective,0,0
negative,2,2
positive,1,1
objective,0,0
objective,0,0
negative,1,1
neutral,0,0
objective,0,0
positive,0,0
positive,3,3
neutral,1,1
positive,1,1
neutral,2,2
negative,2,2
negative,1,1
positive,2,2
positive,1,1
neutral,0,0
objective,0,0
positive,1,1
positive,3,3
positive,1,1
neutral,1,1
negative,1,1
neutral,1,1
positive,3,3
objective,3,3
positive,2,2
positive,1,1
positive,1,1
negative,0,0
negative,0,0
positive,1,1
negative,0,0
neutral,3,3
positive,5,5
positive,2,2
negative,0,0
positive,0,0
positive,1,1
objective,0,0
positive,2,2
negative,0,0
negative,0,0
positive,1,1
objective,1,1
negative,1,1
negative,1,1
neutral,0,0
neutral,2,2
neutral,1,1
positive,0,0
negative,2,2
positive,2,2
objective,1,1
positive,1,1
positive,1,1
positive,6,6
neutral,0,0
neutral,1,1
neutral,0,0
positive,2,2
negative,1,1
negative,1,1
neutral,0,0
positive,1,1
positive,1,1
positive,0,0
neutral,0,0
negative,1,1
negative,1,1
positive,0,0
negative,1,1
positive,2,2
positive,3,3
neutral,0,0
positive,1,1
positive,1,1
positive,1,1
negative,0,0
positive,1,1
positive,1,1
positive,1,1
positive,1,1
neutral,3,3
negative,0,0
neutral,0,0
objective,1,1
positive,2,2
objective,3,3
objective,2,2
positive,0,0
objective,0,0
positive,1,1
neutral,0,0
neutral,1,1
positive,2,2
negative,1,1
neutral,1,1
negative,1,1
positive,3,3
negative,1,1
neutral,1,1
objective,1,1
objective,3,3
objective,0,0
neutral,0,0
neutral,1,1
positive,4,4
objective,1,1
neutral,0,0
positive,1,1
objective,0,0
positive,2,2
negative,0,0
objective,1,1
neutral,0,0
positive,3,3
negative,1,1
positive,1,1
positive,0,0
positive,1,1
objective,0,0
positive,2,2
negative,1,1
neutral,1,1
positive,2,2
positive,1,1
objective,0,0
neutral,2,2
objective,1,1
negative,0,0
objective,0,0
objective,0,0
positive,1,1
objective,1,1
objective,1,1
positive,3,3
objective,0,0
neutral,3,3
objective,0,0
objective,2,2
neutral,0,0
positive,2,2
neutral,0,0
positive,1,1
positive,2,2
negative,0,0
neutral,2,2
negative,1,1
neutral,0,0
positive,0,0
negative,1,1
negative,0,0
negative,0,0
positive,0,0
positive,0,0
positive,2,2
positive,1,1
neutral,0,0
positive,0,0
negative,0,0
objective,0,0
neutral,2,2
negative,1,1
objective,0,0
negative,1,1
objective,2,2
positive,2,2
positive,3,3
positive,0,0
objective,1,1
negative,2,2
positive,2,2
neutral,1,1
objective,1,1
positive,2,2
objective,1,1
positive,1,1
positive,0,0
neutral,3,3
positive,3,3
positive,0,0
positive,1,1
positive,2,2
neutral,0,0
positive,2,2
positive,2,2
neutral,2,2
neutral,1,1
positive,2,2
neutral,1,1
neutral,0,0
positive,3,3
neutral,3,3
neutral,0,0
neutral,0,0
neutral,2,2
negative,1,1
negative,1,1
negative,0,0
neutral,0,0
positive,5,5
negative,1,1
negative,2,2
neutral,2,2
negative,1,1
positive,1,1
neutral,1,1
objective,0,0
negative,0,0
positive,0,0
objective,0,0
positive,1,1
objective,0,0
positive,0,0
positive,1,1
positive,3,3
negative,0,0
positive,2,2
positive,2,2
objective,1,1
negative,1,1
objective,1,1
neutral,0,0
positive,2,2
positive,1,1
negative,1,1
positive,1,1
positive,0,0
positive,1,1
neutral,0,0
negative,0,0
positive,3,3
negative,1,1
positive,0,0
positive,2,2
neutral,0,0
positive,1,1
neutral,1,1
negative,1,1
objective,0,0
positive,0,0
positive,1,1
neutral,1,1
positive,1,1
neutral,0,0
negative,0,0
positive,1,1
positive,2,2
positive,1,1
negative,1,1
neutral,0,0
positive,1,1
objective,0,0
neutral,0,0
negative,2,2
positive,2,2
neutral,0,0
positive,1,1
positive,2,2
positive,3,3
positive,2,2
positive,1,1
objective,0,0
objective,0,0
neutral,2,2
positive,2,2
objective,0,0
objective,0,0
positive,1,1
positive,0,0
positive,3,3
objective,0,0
objective,0,0
neutral,0,0
positive,1,1
neutral,0,0
neutral,1,1
neutral,3,3
objective,1,1
negative,1,1
negative,0,0
positive,1,1
objective,4,4
positive,3,3
neutral,1,1
positive,1,1
neutral,3,3
negative,2,2
negative,0,0
neutral,1,1
positive,0,0
neutral,0,0
positive,3,3
neutral,0,0
neutral,2,2
neutral,0,0
positive,0,0
positive,3,3
positive,2,2
neutral,0,0
objective,1,1
positive,2,2
positive,4,4
neutral,0,0
positive,2,2
neutral,2,2
positive,1,1
objective,0,0
neutral,1,1
negative,1,1
positive,2,2
objective,2,2
positive,5,5
positive,0,0
neutral,1,1
negative,3,3
positive,0,0
negative,2,2
positive,2,2
positive,0,0
positive,0,0
negative,1,1
neutral,0,0
positive,0,0
neutral,0,0
objective,0,0
objective,1,1
neutral,0,0
negative,0,0
positive,2,2
neutral,0,0
neutral,0,0
positive,0,0
neutral,0,0
positive,1,1
negative,0,0
positive,0,0
objective,0,0
negative,2,2
positive,1,1
positive,2,2
positive,3,3
positive,2,2
positive,2,2
negative,1,1
objective,1,1
positive,0,0
positive,3,3
objective,1,1
positive,2,2
neutral,1,1
neutral,1,1
neutral,0,0
neutral,1,1
positive,0,0
positive,2,2
neutral,1,1
objective,1,1
objective,1,1
positive,2,2
positive,2,2
objective,0,0
objective,1,1
negative,0,0
positive,1,1
negative,0,0
negative,0,0
positive,0,0
positive,3,3
objective,1,1
positive,1,1
neutral,0,0
positive,1,1
neutral,1,1
neutral,0,0
positive,2,2
neutral,0,0
positive,3,3
positive,3,3
negative,2,2
negative,0,0
positive,1,1
positive,0,0
negative,0,0
objective,1,1
positive,2,2
negative,1,1
positive,2,2
negative,0,0
neutral,1,1
neutral,0,0
positive,4,4
positive,1,1
positive,1,1
positive,1,1
negative,1,1
objective,0,0
objective,0,0
negative,1,1
negative,1,1
neutral,2,2
positive,1,1
positive,2,2
positive,3,3
neutral,0,0
negative,1,1
positive,0,0
negative,1,1
positive,1,1
objective,0,0
negative,4,4
neutral,2,2
negative,0,0
objective,0,0
positive,0,0
neutral,1,1
negative,2,2
positive,3,3
positive,0,0
objective,1,1
positive,2,2
positive,1,1
positive,1,1
neutral,1,1
positive,0,0
neutral,0,0
neutral,0,0
objective,0,0
positive,2,2
positive,1,1
positive,2,2
positive,6,6
negative,0,0
objective,0,0
positive,3,3
positive,2,2
objective,1,1
positive,1,1
positive,1,1
neutral,0,0
positive,1,1
positive,1,1
positive,1,1
objective,1,1
positive,1,1
positive,1,1
objective,0,0
negative,2,2
positive,1,1
positive,0,0
positive,3,3
negative,1,1
positive,1,1
negative,2,2
negative,1,1
positive,0,0
negative,2,2
negative,2,2
neutral,2,2
positive,4,4
negative,3,3
objective,2,2
neutral,6,6
positive,2,2
positive,2,2
positive,0,0
neutral,0,0
objective,1,1
negative,2,2
objective,1,1
positive,2,2
negative,1,1
positive,2,2
positive,0,0
objective,0,0
positive,1,1
positive,0,0
objective,1,1
objective,1,1
positive,2,2
neutral,3,3
positive,0,0
positive,1,1
objective,1,1
neutral,1,1
objective,0,0
objective,0,0
neutral,2,2
negative,2,2
objective,0,0
positive,2,2
positive,2,2
positive,2,2
positive,1,1
neutral,1,1
negative,4,4
negative,3,3
neutral,1,1
neutral,0,0
negative,0,0
objective,2,2
negative,1,1
negative,1,1
neutral,0,0
neutral,1,1
positive,3,3
objective,1,1
positive,3,3
objective,0,0
positive,1,1
positive,2,2
objective,2,2
positive,0,0
objective,0,0
negative,0,0
negative,0,0
positive,1,1
positive,1,1
positive,1,1
objective,0,0
positive,3,3
objective,0,0
positive,0,0
objective,1,1
positive,1,1
positive,0,0
positive,2,2
negative,1,1
objective,0,0
positive,1,1
negative,1,1
neutral,0,0
objective,2,2
positive,5,5
negative,0,0
positive,3,3
neutral,0,0
positive,1,1
neutral,0,0
positive,2,2
negative,0,0
objective,0,0
negative,1,1
positive,1,1
positive,1,1
negative,1,1
neutral,0,0
negative,0,0
positive,0,0
objective,0,0
objective,1,1
objective,0,0
objective,0,0
objective,1,1
positive,1,1
positive,1,1
objective,1,1
positive,1,1
objective,0,0
objective,1,1
neutral,1,1
negative,0,0
neutral,3,3
objective,2,2
positive,0,0
objective,1,1
positive,2,2
positive,0,0
positive,1,1
negative,0,0
negative,1,1
positive,1,1
positive,2,2
objective,1,1
negative,1,1
positive,0,0
positive,0,0
positive,1,1
objective,0,0
positive,2,2
positive,1,1
positive,1,1
neutral,1,1
objective,0,0
negative,0,0
neutral,1,1
neutral,0,0
neutral,0,0
positive,0,0
neutral,0,0
positive,0,0
objective,2,2
neutral,0,0
objective,0,0
neutral,1,1
neutral,0,0
objective,3,3
positive,1,1
positive,3,3
objective,0,0
positive,0,0
objective,1,1
neutral,0,0
objective,1,1
positive,0,0
positive,1,1
neutral,2,2
neutral,0,0
objective,1,1
objective,3,3
positive,2,2
neutral,0,0
neutral,2,2
neutral,1,1
negative,1,1
neutral,1,1
negative,0,0
objective,0,0
positive,1,1
negative,2,2
positive,2,2
neutral,0,0
objective,1,1
positive,2,2
neutral,1,1
objective,0,0
negative,0,0
positive,1,1
positive,1,1
neutral,0,0
positive,0,0
objective,4,4
objective,0,0
negative,1,1
positive,0,0
negative,0,0
neutral,2,2
positive,1,1
positive,3,3
negative,0,0
positive,1,1
positive,1,1
neutral,3,3
objective,1,1
positive,1,1
positive,3,3
positive,0,0
objective,1,1
positive,2,2
neutral,0,0
objective,1,1
objective,1,1
neutral,1,1
objective,0,0
objective,2,2
negative,1,1
positive,2,2
positive,3,3
positive,0,0
positive,0,0
neutral,0,0
neutral,3,3
neutral,0,0
neutral,2,2
negative,0,0
positive,1,1
positive,2,2
positive,0,0
objective,1,1
neutral,1,1
positive,3,3
positive,1,1
positive,2,2
negative,0,0
objective,0,0
objective,1,1
objective,0,0
neutral,4,4
negative,0,0
neutral,1,1
neutral,1,1
neutral,2,2
objective,0,0
negative,1,1
neutral,2,2
neutral,2,2
neutral,1,1
positive,1,1
neutral,1,1
neutral,1,1
negative,2,2
positive,0,0
positive,3,3
positive,0,0
positive,1,1
positive,0,0
negative,0,0
objective,1,1
neutral,1,1
negative,2,2
objective,2,2
objective,0,0
objective,1,1
neutral,0,0
objective,0,0
neutral,0,0
negative,1,1
neutral,1,1
positive,3,3
objective,1,1
objective,2,2
negative,2,2
objective,0,0
neutral,2,2
positive,3,3
objective,0,0
positive,0,0
neutral,0,0
positive,1,1
positive,2,2
objective,0,0
positive,2,2
positive,2,2
neutral,1,1
negative,0,0
objective,0,0
objective,0,0
positive,0,0
positive,1,1
positive,1,1
objective,0,0
positive,1,1
positive,2,2
negative,0,0
positive,1,1
objective,1,1
positive,1,1
positive,0,0
positive,1,1
neutral,1,1
negative,0,0
objective,2,2
neutral,0,0
positive,0,0
positive,1,1
negative,0,0
positive,1,1
objective,2,2
objective,0,0
objective,1,1
neutral,0,0
positive,1,1
neutral,1,1
neutral,1,1
neutral,1,1
negative,0,0
positive,1,1
positive,2,2
objective,1,1
negative,0,0
objective,2,2
neutral,1,1
objective,1,1
negative,0,0
negative,2,2
neutral,0,0
negative,0,0
negative,0,0
negative,1,1
positive,0,0
neutral,0,0
neutral,0,0
neutral,1,1
positive,1,1
objective,0,0
neutral,1,1
objective,1,1
objective,0,0
neutral,1,1
positive,0,0
positive,2,2
neutral,0,0
negative,1,1
positive,1,1
objective,0,0
positive,0,0
objective,2,2
negative,0,0
objective,0,0
positive,1,1
objective,0,0
positive,1,1
objective,0,0
neutral,0,0
positive,1,1
positive,3,3
negative,1,1
objective,1,1
positive,1,1
neutral,0,0
objective,1,1
positive,1,1
positive,1,1
positive,1,1
positive,0,0
negative,1,1
neutral,1,1
negative,2,2
negative,0,0
objective,1,1
positive,3,3
positive,0,0
positive,1,1
positive,3,3
positive,1,1
positive,3,3
neutral,2,2
positive,1,1
negative,1,1
neutral,3,3
positive,0,0
objective,0,0
negative,4,4
negative,0,0
neutral,0,0
negative,0,0
neutral,0,0
positive,1,1
negative,2,2
objective,0,0
positive,0,0
positive,3,3
neutral,0,0
neutral,1,1
positive,4,4
negative,1,1
positive,1,1
objective,0,0
positive,2,2
positive,1,1
objective,1,1
positive,3,3
objective,0,0
neutral,1,1
neutral,1,1
neutral,0,0
neutral,0,0
negative,0,0
positive,0,0
neutral,0,0
neutral,0,0
negative,1,1
positive,1,1
positive,2,2
positive,2,2
negative,3,3
negative,2,2
objective,0,0
neutral,0,0
positive,0,0
positive,2,2
objective,0,0
positive,0,0
objective,1,1
objective,0,0
positive,1,1
positive,2,2
positive,0,0
negative,0,0
objective,0,0
negative,1,1
neutral,0,0
positive,0,0
negative,1,1
positive,1,1
positive,0,0
positive,2,2
negative,1,1
objective,0,0
negative,1,1
neutral,0,0
neutral,1,1
positive,4,4
positive,0,0
positive,3,3
neutral,0,0
positive,4,4
neutral,3,3
negative,0,0
positive,1,1
negative,0,0
objective,0,0
neutral,2,2
positive,0,0
objective,1,1
positive,0,0
objective,3,3
negative,2,2
positive,0,0
positive,4,4
positive,0,0
positive,1,1
objective,0,0
negative,1,1
neutral,1,1
objective,0,0
positive,2,2
positive,2,2
objective,0,0
neutral,1,1
objective,0,0
positive,2,2
neutral,1,1
positive,1,1
negative,1,1
negative,0,0
neutral,2,2
objective,0,0
objective,0,0
positive,0,0
neutral,0,0
positive,0,0
neutral,0,0
neutral,2,2
neutral,1,1
positive,0,0
neutral,0,0
